-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Latitude  -6.7436   Longitude 108.0048 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 113.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M
2024,1,1,0,0.0,26.57,1.44
2024,1,1,1,0.0,26.37,1.54
2024,1,1,2,0.0,26.19,1.66
2024,1,1,3,0.0,26.06,1.77
2024,1,1,4,0.0,26.0,1.67
2024,1,1,5,4.25,25.97,1.54
2024,1,1,6,74.45,26.79,1.43
2024,1,1,7,288.12,28.04,1.36
2024,1,1,8,489.7,29.13,0.85
2024,1,1,9,681.33,29.69,0.06
2024,1,1,10,795.12,29.94,0.78
2024,1,1,11,850.33,30.05,1.4
2024,1,1,12,841.22,30.04,1.9
2024,1,1,13,752.33,29.84,2.17
2024,1,1,14,570.8,29.64,2.28
2024,1,1,15,401.2,29.26,2.32
2024,1,1,16,203.32,28.68,2.3
2024,1,1,17,44.67,27.89,2.35
2024,1,1,18,0.0,27.09,2.21
2024,1,1,19,0.0,26.9,2.17
2024,1,1,20,0.0,26.81,2.13
2024,1,1,21,0.0,26.72,2.19
2024,1,1,22,0.0,26.64,2.34
2024,1,1,23,0.0,26.54,2.4
2024,1,2,0,0.0,26.45,2.39
2024,1,2,1,0.0,26.38,2.39
2024,1,2,2,0.0,26.35,2.43
2024,1,2,3,0.0,26.34,2.46
2024,1,2,4,0.0,26.32,2.41
2024,1,2,5,1.1,26.37,2.32
2024,1,2,6,46.33,27.14,2.05
2024,1,2,7,144.02,27.99,2.23
